LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101366286","1100010275"
2023/09/03 00:00:00,"1101366608","1100008602"
2023/09/03 00:00:00,"1101366616","1100010313"
2023/09/03 00:00:00,"1101366350","1100010245"
2023/09/03 00:00:00,"1101366779","1100011280"
2023/09/03 00:00:00,"1101366623","1100003267"
2023/09/03 00:00:00,"1101366775","1100012137"
2023/09/03 00:00:00,"1101368124","1100008577"
2023/09/03 00:00:00,"1101366693","1100003411"
2023/09/03 00:00:00,"1101366525","1100003445"
2023/09/03 00:00:00,"1101366713","1100010946"
2023/09/03 00:00:00,"1101366146","1100010283"
2023/09/03 00:00:00,"1101366728","1100006344"
2023/09/03 00:00:00,"1101366511","1100008719"
2023/09/03 00:00:00,"1101366482","1100010210"
2023/09/03 00:00:00,"1101366550","1100011334"
2023/09/03 00:00:00,"1101366266","1100010288"
2023/09/03 00:00:00,"1101366776","1100010221"
2023/09/03 00:00:00,"1101366126","1100010214"
2023/09/03 00:00:00,"1101368166","1100007567"
2023/09/03 00:00:00,"1101368063","1100008608"
2023/09/03 00:00:00,"1101366801","1100004671"
2023/09/03 00:00:00,"1101366656","1100008958"
2023/09/03 00:00:00,"1101366456","1100010202"
2023/09/03 00:00:00,"1101368186","1100010409"
2023/09/03 00:00:00,"1101366307","1100010202"
2023/09/03 00:00:00,"1101366287","1100010249"
2023/09/03 00:00:00,"1101366145","1100010288"
2023/09/03 00:00:00,"1101366230","1100010254"
2023/09/03 00:00:00,"1101366288","1100010249"
2023/09/03 00:00:00,"1101368062","1100008553"
2023/09/03 00:00:00,"1101368069","1100659757"
2023/09/03 00:00:00,"1101368017","1100010524"
2023/09/03 00:00:00,"1101366204","1100010248"
2023/09/03 00:00:00,"1101368037","1100008614"
2023/09/03 00:00:00,"1101368188","1100006231"
2023/09/03 00:00:00,"1101366231","1100010254"
2023/09/03 00:00:00,"1101366057","1100010302"
2023/09/03 00:00:00,"1101366597","1100010856"
2023/09/03 00:00:00,"1101366526","1100004479"
2023/09/03 00:00:00,"1101368098","1100010580"
2023/09/03 00:00:00,"1101366082","1100010260"
2023/09/03 00:00:00,"1101368045","1100010511"
2023/09/03 00:00:00,"1101366692","1100003023"
2023/09/03 00:00:00,"1101368219","1100010450"
2023/09/03 00:00:00,"1101366594","1100012285"
2023/09/03 00:00:00,"1101365996","1100010295"
2023/09/03 00:00:00,"1101366483","1100010210"
2023/09/03 00:00:00,"1101366585","1100008904"
2023/09/03 00:00:00,"1101366203","1100010248"
2023/09/03 00:00:00,"1101366107","1100010283"
2023/09/03 00:00:00,"1101366520","1100010433"
2023/09/03 00:00:00,"1101366329","1100010232"
2023/09/03 00:00:00,"1101365925","1100010295"
2023/09/03 00:00:00,"1101365951","1100010260"
2023/09/03 00:00:00,"1101366820","1100005877"
2023/09/03 00:00:00,"1101366316","1100010462"
2023/09/03 00:00:00,"1101368190","1100009106"
2023/09/03 00:00:00,"1101367935","1100012486"
